,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.0011092811153017024,0.04279695938595303,0.04394413196404054,0.0333643404715038,0.052364100486229546,0.030960186733069623,0.0028035099476312643,0.004025059568232379,0.010308442479767449,0.009108561877319524,0.00831899442845007
gender,0.0011092811153017024,0.0,0.007592362925891105,0.03573234756324423,0.0005625829541510696,0.0019163180631273976,0.005326404125774578,0.000553238141833029,0.00281148693880353,3.4705317673133784e-05,0.0009551925356934832,6.935022468848584e-05
marry,0.04279695938595303,0.007592362925891105,0.0,0.01056664216617479,0.01734646719644116,0.16437283543482947,0.004941670681293801,0.0029011452163563503,0.0033656624523359033,0.0013039031663780037,0.0011557282492573595,0.0034778419705774333
edu,0.04394413196404054,0.03573234756324423,0.01056664216617479,0.0,0.06282582439766785,0.006858838283175385,0.013832840717374055,0.002384602898905224,0.014615748197787843,0.0009824923510084044,0.019526162008263084,0.007314925098152753
income_bin,0.0333643404715038,0.0005625829541510696,0.01734646719644116,0.06282582439766785,0.0,0.04829600408476913,0.016771851385669306,0.0034797686557116667,0.008093940122754155,0.003213563976295186,0.011289773221091343,0.007626667049340119
family_size,0.052364100486229546,0.0019163180631273976,0.16437283543482947,0.006858838283175385,0.04829600408476913,0.0,0.0054926737240985615,0.0022163983592555702,0.004481050538396268,0.0015967582465291194,0.0014458794161503596,0.0023639419771843747
health_status,0.030960186733069623,0.005326404125774578,0.004941670681293801,0.013832840717374055,0.016771851385669306,0.0054926737240985615,0.0,0.0009398313203299626,0.016861198626906125,0.022875879570417368,0.004869482404204546,0.01029094768182423
ins,0.0028035099476312643,0.000553238141833029,0.0029011452163563503,0.002384602898905224,0.0034797686557116667,0.0022163983592555702,0.0009398313203299626,0.0,0.0017803802187011594,1.9600422567565834e-05,0.0011648315947384788,0.0017689385444816172
satlife,0.004025059568232379,0.00281148693880353,0.0033656624523359033,0.014615748197787843,0.008093940122754155,0.004481050538396268,0.016861198626906125,0.0017803802187011594,0.0,0.0016226743643876704,0.002225182426459329,0.002271172993973676
hospital,0.010308442479767449,3.4705317673133784e-05,0.0013039031663780037,0.0009824923510084044,0.003213563976295186,0.0015967582465291194,0.022875879570417368,1.9600422567565834e-05,0.0016226743643876704,0.0,0.00021594573848679466,0.0011060083679229615
social_need,0.009108561877319524,0.0009551925356934832,0.0011557282492573595,0.019526162008263084,0.011289773221091343,0.0014458794161503596,0.004869482404204546,0.0011648315947384788,0.002225182426459329,0.00021594573848679466,0.0,0.012009283795448147
exercise,0.00831899442845007,6.935022468848584e-05,0.0034778419705774333,0.007314925098152753,0.007626667049340119,0.0023639419771843747,0.01029094768182423,0.0017689385444816172,0.002271172993973676,0.0011060083679229615,0.012009283795448147,0.0
